species_name	bin_uri
Pomacea insularum	BOLD:AAA2992
Pomacea insularum	BOLD:AAA2992
Pomacea canaliculata	BOLD:AAA3844
Pila sp. HI_141	BOLD:AAL4314
Chelidonura hirundinina	BOLD:AAJ0358
Siphopteron quadrispinosum	BOLD:AAF3876
Satsuma arisana	BOLD:AAF1623
Satsuma nux	BOLD:AAB1256
Patella rustica	BOLD:ACE7192
Patella candei	BOLD:AAA8175
Xyloskenea sp. Solomon	BOLD:AAJ9774
Lodderena sp. Izu	BOLD:AAX6264
Physa ancillaria	BOLD:AAB3770
Physa vernalis	BOLD:AAH8447
Helicarion cuvieri	BOLD:AAY2027
Notoacmea sp. A TN-2006	BOLD:AAE5509
Patella rustica	BOLD:AAA9280
Patelloida striata	BOLD:AAI4206
Cellana sandwicensis	BOLD:AAA3391
Cellana sandwicensis	BOLD:AAA3391
Cellana exarata	BOLD:AAA2498
Cellana talcosa	BOLD:AAA3399
Limacia clavigera	BOLD:AAD6388
Nucella lapillus	BOLD:AAA2142
Nucella lapillus	BOLD:AAA2142
Assiminea sp. A25B	BOLD:ACE7631
Nassarius reticulatus	BOLD:AAO2250
Crepipatella fecunda	BOLD:AAD1064
Bythinella eurystoma	BOLD:AAB7302
Bythinella eurystoma	BOLD:AAB7302
Bythinella bicarinata	BOLD:AAA9316
Hastula hectica	BOLD:AAE5579
Myurella affinis	BOLD:AAB7047
Triplostephanus fenestratus	BOLD:AAE9183
Myurella undulata	BOLD:AAC6763
Myurella affinis	BOLD:AAB7047
Hastula albula	BOLD:AAD7138
Amphioctopus marginatus	BOLD:AAF4331
Unio tumidus	BOLD:AAF0053
Unio tumidus	BOLD:AAF0053
Dreissena polymorpha	BOLD:AAA5298
Meretrix meretrix	BOLD:AAC6198
Mytilus edulis	BOLD:AAA2184
Mytilus edulis	BOLD:AAA2184
Bulinus truncatus	BOLD:AAD2596
Arion intermedius	BOLD:AAB7120
Arion intermedius	BOLD:AAB7120
Pupilla muscorum	BOLD:AAD5597
Lepetodrilus cristatus	BOLD:AAC3710
Lepetodrilus cristatus	BOLD:AAC3710
Lepetodrilus elevatus	BOLD:AAA9675
Valvata rhabdota	BOLD:AAD4572
Valvata cf. piscinalis	BOLD:AAD2406
Satsuma formosensis	BOLD:AAR4057
Satsuma nux	BOLD:ABX6329
Satsuma nux	BOLD:ACF5193
Satsuma auratibasis	BOLD:AAR4051
Satsuma pilsbryi	BOLD:ACQ0882
Everettia subconsul	BOLD:AAC8048
Everettia themis	BOLD:AAF6962
Cyclotus taivanus	BOLD:AAB9524
Japonia formosana	BOLD:AAW9119
